order	package_name	version	url	type
1	backports	1.5.0	https://cran.r-project.org/src/contrib/backports_1.5.0.tar.gz	CRAN_last
2	base64enc	0.1-3	https://cran.r-project.org/src/contrib/base64enc_0.1-3.tar.gz	CRAN_last
3	BH	1.87.0-1	http://cran.r-project.org/src/contrib/Archive/BH/BH_1.87.0-1.tar.gz	CRAN_archive
4	carData	3.0-5	https://cran.r-project.org/src/contrib/carData_3.0-5.tar.gz	CRAN_last
5	commonmark	1.9.5	http://cran.r-project.org/src/contrib/Archive/commonmark/commonmark_1.9.5.tar.gz	CRAN_archive
6	cpp11	0.5.2	https://cran.r-project.org/src/contrib/cpp11_0.5.2.tar.gz	CRAN_last
7	curl	6.2.2	http://cran.r-project.org/src/contrib/Archive/curl/curl_6.2.2.tar.gz	CRAN_archive
8	evaluate	1.0.3	http://cran.r-project.org/src/contrib/Archive/evaluate/evaluate_1.0.3.tar.gz	CRAN_archive
9	farver	2.1.2	https://cran.r-project.org/src/contrib/farver_2.1.2.tar.gz	CRAN_last
10	fastmap	1.2.0	https://cran.r-project.org/src/contrib/fastmap_1.2.0.tar.gz	CRAN_last
11	flashClust	1.01-2	https://cran.r-project.org/src/contrib/flashClust_1.01-2.tar.gz	CRAN_last
12	formatR	1.14	https://cran.r-project.org/src/contrib/formatR_1.14.tar.gz	CRAN_last
13	futile.options	1.0.1	https://cran.r-project.org/src/contrib/futile.options_1.0.1.tar.gz	CRAN_last
14	GenomeInfoDbData	1.2.14	https://bioconductor.org/packages/3.21/data/annotation/src/contrib/GenomeInfoDbData_1.2.14.tar.gz	another_exception
15	jpeg	0.1-11	https://cran.r-project.org/src/contrib/jpeg_0.1-11.tar.gz	CRAN_last
16	lambda.r	1.2.4	https://cran.r-project.org/src/contrib/lambda.r_1.2.4.tar.gz	CRAN_last
17	lazyeval	0.2.2	https://cran.r-project.org/src/contrib/lazyeval_0.2.2.tar.gz	CRAN_last
18	leaps	3.2	https://cran.r-project.org/src/contrib/leaps_3.2.tar.gz	CRAN_last
19	magrittr	2.0.3	http://cran.r-project.org/src/contrib/Archive/magrittr/magrittr_2.0.3.tar.gz	CRAN_archive
20	matrixStats	1.5.0	https://cran.r-project.org/src/contrib/matrixStats_1.5.0.tar.gz	CRAN_last
21	nloptr	2.2.1	https://cran.r-project.org/src/contrib/nloptr_2.2.1.tar.gz	CRAN_last
22	numDeriv	2016.8-1.1	https://cran.r-project.org/src/contrib/numDeriv_2016.8-1.1.tar.gz	CRAN_last
23	png	0.1-8	https://cran.r-project.org/src/contrib/png_0.1-8.tar.gz	CRAN_last
24	R6	2.6.1	https://cran.r-project.org/src/contrib/R6_2.6.1.tar.gz	CRAN_last
25	rappdirs	0.3.3	https://cran.r-project.org/src/contrib/rappdirs_0.3.3.tar.gz	CRAN_last
26	RColorBrewer	1.1-3	https://cran.r-project.org/src/contrib/RColorBrewer_1.1-3.tar.gz	CRAN_last
27	rjson	0.2.23	https://cran.r-project.org/src/contrib/rjson_0.2.23.tar.gz	CRAN_last
28	rstudioapi	0.17.1	https://cran.r-project.org/src/contrib/rstudioapi_0.17.1.tar.gz	CRAN_last
29	sys	3.4.3	https://cran.r-project.org/src/contrib/sys_3.4.3.tar.gz	CRAN_last
30	utf8	1.2.4	http://cran.r-project.org/src/contrib/Archive/utf8/utf8_1.2.4.tar.gz	CRAN_archive
31	viridisLite	0.4.2	https://cran.r-project.org/src/contrib/viridisLite_0.4.2.tar.gz	CRAN_last
32	yaml	2.3.10	http://cran.r-project.org/src/contrib/Archive/yaml/yaml_2.3.10.tar.gz	CRAN_archive
33	codetools	0.2-20	https://cran.r-project.org/src/contrib/codetools_0.2-20.tar.gz	CRAN_last
34	askpass	1.2.1	https://cran.r-project.org/src/contrib/askpass_1.2.1.tar.gz	CRAN_last
35	cli	3.6.5	https://cran.r-project.org/src/contrib/cli_3.6.5.tar.gz	CRAN_last
36	digest	0.6.37	http://cran.r-project.org/src/contrib/Archive/digest/digest_0.6.37.tar.gz	CRAN_archive
37	fansi	1.0.6	http://cran.r-project.org/src/contrib/Archive/fansi/fansi_1.0.6.tar.gz	CRAN_archive
38	futile.logger	1.4.3	http://cran.r-project.org/src/contrib/Archive/futile.logger/futile.logger_1.4.3.tar.gz	CRAN_archive
39	iterators	1.0.14	https://cran.r-project.org/src/contrib/iterators_1.0.14.tar.gz	CRAN_last
40	mime	0.13	https://cran.r-project.org/src/contrib/mime_0.13.tar.gz	CRAN_last
41	openssl	2.3.2	http://cran.r-project.org/src/contrib/Archive/openssl/openssl_2.3.2.tar.gz	CRAN_archive
42	pkgconfig	2.0.3	https://cran.r-project.org/src/contrib/pkgconfig_2.0.3.tar.gz	CRAN_last
43	rbibutils	2.3	http://cran.r-project.org/src/contrib/Archive/rbibutils/rbibutils_2.3.tar.gz	CRAN_archive
44	rlang	1.1.6	http://cran.r-project.org/src/contrib/Archive/rlang/rlang_1.1.6.tar.gz	CRAN_archive
45	S7	0.2.0	http://cran.r-project.org/src/contrib/Archive/S7/S7_0.2.0.tar.gz	CRAN_archive
46	snow	0.4-4	https://cran.r-project.org/src/contrib/snow_0.4-4.tar.gz	CRAN_last
47	cachem	1.1.0	https://cran.r-project.org/src/contrib/cachem_1.1.0.tar.gz	CRAN_last
48	ellipse	0.5.0	https://cran.r-project.org/src/contrib/ellipse_0.5.0.tar.gz	CRAN_last
49	estimability	1.5.1	https://cran.r-project.org/src/contrib/estimability_1.5.1.tar.gz	CRAN_last
50	foreach	1.5.2	https://cran.r-project.org/src/contrib/foreach_1.5.2.tar.gz	CRAN_last
51	Formula	1.2-5	https://cran.r-project.org/src/contrib/Formula_1.2-5.tar.gz	CRAN_last
52	htmltools	0.5.8.1	http://cran.r-project.org/src/contrib/Archive/htmltools/htmltools_0.5.8.1.tar.gz	CRAN_archive
53	isoband	0.2.7	http://cran.r-project.org/src/contrib/Archive/isoband/isoband_0.2.7.tar.gz	CRAN_archive
54	jquerylib	0.1.4	https://cran.r-project.org/src/contrib/jquerylib_0.1.4.tar.gz	CRAN_last
55	labeling	0.4.3	https://cran.r-project.org/src/contrib/labeling_0.4.3.tar.gz	CRAN_last
56	memoise	2.0.1	https://cran.r-project.org/src/contrib/memoise_2.0.1.tar.gz	CRAN_last
57	microbenchmark	1.5.0	https://cran.r-project.org/src/contrib/microbenchmark_1.5.0.tar.gz	CRAN_last
58	multcompView	0.1-10	https://cran.r-project.org/src/contrib/multcompView_0.1-10.tar.gz	CRAN_last
59	mvtnorm	1.3-3	https://cran.r-project.org/src/contrib/mvtnorm_1.3-3.tar.gz	CRAN_last
60	scatterplot3d	0.3-44	https://cran.r-project.org/src/contrib/scatterplot3d_0.3-44.tar.gz	CRAN_last
61	shape	1.4.6.1	https://cran.r-project.org/src/contrib/shape_1.4.6.1.tar.gz	CRAN_last
62	stringi	1.8.7	https://cran.r-project.org/src/contrib/stringi_1.8.7.tar.gz	CRAN_last
63	withr	3.0.2	https://cran.r-project.org/src/contrib/withr_3.0.2.tar.gz	CRAN_last
64	xfun	0.52	http://cran.r-project.org/src/contrib/Archive/xfun/xfun_0.52.tar.gz	CRAN_archive
65	boot	1.3-31	http://cran.r-project.org/src/contrib/Archive/boot/boot_1.3-31.tar.gz	CRAN_archive
66	cluster	2.1.8.1	https://cran.r-project.org/src/contrib/cluster_2.1.8.1.tar.gz	CRAN_last
67	lattice	0.22-7	https://cran.r-project.org/src/contrib/lattice_0.22-7.tar.gz	CRAN_last
68	nlme	3.1-168	https://cran.r-project.org/src/contrib/nlme_3.1-168.tar.gz	CRAN_last
69	nnet	7.3-20	https://cran.r-project.org/src/contrib/nnet_7.3-20.tar.gz	CRAN_last
70	abind	1.4-8	https://cran.r-project.org/src/contrib/abind_1.4-8.tar.gz	CRAN_last
71	BiocParallel	1.42.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/Archive/BiocParallel/BiocParallel_1.42.0.tar.gz	BioC_archive
72	clue	0.3-66	https://cran.r-project.org/src/contrib/clue_0.3-66.tar.gz	CRAN_last
73	colorspace	2.1-1	http://cran.r-project.org/src/contrib/Archive/colorspace/colorspace_2.1-1.tar.gz	CRAN_archive
74	crayon	1.5.3	https://cran.r-project.org/src/contrib/crayon_1.5.3.tar.gz	CRAN_last
75	data.table	1.17.0	http://cran.r-project.org/src/contrib/Archive/data.table/data.table_1.17.0.tar.gz	CRAN_archive
76	Deriv	4.1.6	http://cran.r-project.org/src/contrib/Archive/Deriv/Deriv_4.1.6.tar.gz	CRAN_archive
77	doParallel	1.0.17	https://cran.r-project.org/src/contrib/doParallel_1.0.17.tar.gz	CRAN_last
78	emmeans	2.0.0	http://cran.r-project.org/src/contrib/Archive/emmeans/emmeans_2.0.0.tar.gz	CRAN_archive
79	fontawesome	0.5.3	https://cran.r-project.org/src/contrib/fontawesome_0.5.3.tar.gz	CRAN_last
80	fs	1.6.6	https://cran.r-project.org/src/contrib/fs_1.6.6.tar.gz	CRAN_last
81	generics	0.1.3	http://cran.r-project.org/src/contrib/Archive/generics/generics_0.1.3.tar.gz	CRAN_archive
82	GlobalOptions	0.1.2	http://cran.r-project.org/src/contrib/Archive/GlobalOptions/GlobalOptions_0.1.2.tar.gz	CRAN_archive
83	glue	1.8.0	https://cran.r-project.org/src/contrib/glue_1.8.0.tar.gz	CRAN_last
84	highr	0.11	https://cran.r-project.org/src/contrib/highr_0.11.tar.gz	CRAN_last
85	jsonlite	2.0.0	https://cran.r-project.org/src/contrib/jsonlite_2.0.0.tar.gz	CRAN_last
86	knitr	1.50	http://cran.r-project.org/src/contrib/Archive/knitr/knitr_1.50.tar.gz	CRAN_archive
87	lifecycle	1.0.4	http://cran.r-project.org/src/contrib/Archive/lifecycle/lifecycle_1.0.4.tar.gz	CRAN_archive
88	litedown	0.7	http://cran.r-project.org/src/contrib/Archive/litedown/litedown_0.7.tar.gz	CRAN_archive
89	locfit	1.5-9.12	https://cran.r-project.org/src/contrib/locfit_1.5-9.12.tar.gz	CRAN_last
90	markdown	2.0	https://cran.r-project.org/src/contrib/markdown_2.0.tar.gz	CRAN_last
91	MatrixGenerics	1.20.0	https://bioconductor.org/packages/3.21/bioc/src/contrib/MatrixGenerics_1.20.0.tar.gz	BioC_last
92	Rcpp	1.0.14	http://cran.r-project.org/src/contrib/Archive/Rcpp/Rcpp_1.0.14.tar.gz	CRAN_archive
93	RcppArmadillo	14.4.1-1	http://cran.r-project.org/src/contrib/Archive/RcppArmadillo/RcppArmadillo_14.4.1-1.tar.gz	CRAN_archive
