Id	Count
ENSMUSG00000000001	7353
ENSMUSG00000000003	0
ENSMUSG00000000028	204
ENSMUSG00000000031	72959
ENSMUSG00000000037	119
ENSMUSG00000000049	173
ENSMUSG00000000056	1998
ENSMUSG00000000058	7704
ENSMUSG00000000078	6714
ENSMUSG00000000085	1817
ENSMUSG00000000088	2307
ENSMUSG00000000093	1153
ENSMUSG00000000094	11
ENSMUSG00000000103	0
ENSMUSG00000000120	3498
ENSMUSG00000000125	0
ENSMUSG00000000126	762
ENSMUSG00000000127	1984
ENSMUSG00000000131	3184
ENSMUSG00000000134	3179
ENSMUSG00000000142	747
ENSMUSG00000000148	1219
ENSMUSG00000000149	16236
ENSMUSG00000000154	107
ENSMUSG00000000157	0
ENSMUSG00000000159	362
ENSMUSG00000000167	60
ENSMUSG00000000168	2131
ENSMUSG00000000171	3644
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	4324
ENSMUSG00000000194	4209
ENSMUSG00000000197	398
ENSMUSG00000000202	726
ENSMUSG00000000204	20
ENSMUSG00000000214	8
ENSMUSG00000000215	3
ENSMUSG00000000216	1
ENSMUSG00000000223	112210
ENSMUSG00000000244	117
ENSMUSG00000000247	3
ENSMUSG00000000248	63
ENSMUSG00000000253	87
ENSMUSG00000000263	11
ENSMUSG00000000266	2534
ENSMUSG00000000275	1253
ENSMUSG00000000276	1114
ENSMUSG00000000278	3428
ENSMUSG00000000282	1032
ENSMUSG00000000290	462
ENSMUSG00000000295	245
ENSMUSG00000000296	477
ENSMUSG00000000301	182
ENSMUSG00000000303	11908
ENSMUSG00000000305	120
ENSMUSG00000000308	53
ENSMUSG00000000317	347
ENSMUSG00000000318	1300
ENSMUSG00000000320	44
ENSMUSG00000000325	7173
ENSMUSG00000000326	4554
ENSMUSG00000000339	1147
ENSMUSG00000000340	2235
ENSMUSG00000000346	9946
ENSMUSG00000000355	952
ENSMUSG00000000359	535
ENSMUSG00000000365	35
ENSMUSG00000000374	3252
