ID	symbol
ENSMUSG00000000001	Gnai3
ENSMUSG00000000003	Pbsn
ENSMUSG00000000028	Cdc45
ENSMUSG00000000031	H19
ENSMUSG00000000037	Scml2
ENSMUSG00000000049	Apoh
ENSMUSG00000000056	Narf
ENSMUSG00000000058	Cav2
ENSMUSG00000000078	Klf6
ENSMUSG00000000085	Scmh1
ENSMUSG00000000088	Cox5a
ENSMUSG00000000093	Tbx2
ENSMUSG00000000094	Tbx4
ENSMUSG00000000103	Zfy2
ENSMUSG00000000120	Ngfr
ENSMUSG00000000125	Wnt3
ENSMUSG00000000126	Wnt9a
ENSMUSG00000000127	Fer
ENSMUSG00000000131	Xpo6
ENSMUSG00000000134	Tfe3
ENSMUSG00000000142	Axin2
ENSMUSG00000000148	Brat1
ENSMUSG00000000149	Gna12
ENSMUSG00000000154	Slc22a18
ENSMUSG00000000157	Itgb2l
ENSMUSG00000000159	Igsf5
ENSMUSG00000000167	Pih1d2
ENSMUSG00000000168	Dlat
ENSMUSG00000000171	Sdhd
ENSMUSG00000000182	Fgf23
ENSMUSG00000000183	Fgf6
ENSMUSG00000000184	Ccnd2
ENSMUSG00000000194	Gpr107
ENSMUSG00000000197	Nalcn
ENSMUSG00000000202	Btbd17
ENSMUSG00000000204	Slfn4
ENSMUSG00000000214	Th
ENSMUSG00000000215	Ins2
ENSMUSG00000000216	Scnn1g
ENSMUSG00000000223	Drp2
ENSMUSG00000000244	Tspan32
ENSMUSG00000000247	Lhx2
ENSMUSG00000000248	Clec2g
ENSMUSG00000000253	Gmpr
ENSMUSG00000000263	Glra1
ENSMUSG00000000266	Mid2
ENSMUSG00000000275	Trim25
ENSMUSG00000000276	Dgke
ENSMUSG00000000278	Scpep1
ENSMUSG00000000282	Mnt
ENSMUSG00000000290	Itgb2
ENSMUSG00000000295	Hddc2
ENSMUSG00000000296	Tpd52l1
ENSMUSG00000000301	Pemt
ENSMUSG00000000303	Cdh1
ENSMUSG00000000305	Cdh4
ENSMUSG00000000308	Ckmt1
ENSMUSG00000000317	Bcl6b
ENSMUSG00000000318	Clec10a
ENSMUSG00000000320	Alox12
ENSMUSG00000000326	Comt
ENSMUSG00000000339	Rtca
ENSMUSG00000000340	Dbt
ENSMUSG00000000346	Dazap2
ENSMUSG00000000355	Mcts1
ENSMUSG00000000359	Rem1
ENSMUSG00000000365	Rnf17
ENSMUSG00000000374	Trappc10
ENSMUSG00000000378	Ccm2
ENSMUSG00000000381	Wap
ENSMUSG00000000384	Tbrg4
ENSMUSG00000000385	Tmprss2
ENSMUSG00000000386	Mx1
ENSMUSG00000000392	Fap
ENSMUSG00000000394	Gcg
ENSMUSG00000000399	Ndufa9
ENSMUSG00000000402	Egfl6
